bo_bien,cot,MAE,MAE_ban_ngay,RMSE,Bias,NMAE_%,so_fold,n_ban_ngay,cai_thien_%
Chi buc xa,G,1.5369851091785374,3.7231216651293053,3.31870708861425,0.36597334814595184,3.8424627729463436,5,4953,0.0
+ nhiet do tam pin,G Tp,1.6634307417597114,4.027120230534408,3.4694397073306904,-0.31389987188106305,4.1585768543992785,5,4953,-8.226861264046638
+ goc cao mat troi (khong co Tp),G elev,1.6805496318378654,4.052753723269847,3.6185384350426673,0.11791855994096538,4.201374079594664,5,4953,-9.340658006508475
+ tam pin + hinh hoc mat troi,G Tp elev ha_deg,1.657558195563934,4.008048693631645,3.5473333756149765,-0.5529264802585855,4.143895488909835,5,4953,-7.844779085064695
++ toc do gio,G Tp elev ha_deg WS,1.6659257413916468,4.018756720816937,3.5573458813460297,-0.591939446222215,4.164814353479117,5,4953,-8.389192025550823
++ nhiet do khong khi,G Tp elev ha_deg Ta,1.684540118574431,4.064921371809071,3.592525658276204,-0.3808773570838895,4.211350296436078,5,4953,-9.600288806620677
++ do am,G Tp elev ha_deg RH,1.8647868013694429,4.488536427777886,3.954134357956608,-0.825113427898389,4.661967003423608,5,4953,-21.327577621497166
Tat ca bay bien,G Tp elev ha_deg Ta RH WS,1.825611347733004,4.402506016475451,3.8582919032454095,-0.790324202226689,4.56402836933251,5,4953,-18.778727056680914
